Time,Team,Operation,BuyVolume,SellVolume,EtfPosition,FuturePosition,EtfPrice,FuturePrice,TotalFees,AccountBalance,ProfitOrLoss,Status
4.547,TraderOne,Tick,31,23,8,-8,146800,146900,-618,-4582,-5382,OK
4.547,TraderTwo,Tick,29,20,9,-9,146800,146900,-720,-3280,-4180,OK
4.75,TraderOne,Tick,31,23,8,-8,146800,146900,-618,-4582,-5382,OK
4.75,TraderTwo,Tick,29,20,9,-9,146800,146900,-720,-3280,-4180,OK
4.937,TraderOne,Tick,31,24,7,-7,146800,146900,-589,-4711,-5411,OK
4.937,TraderTwo,Tick,30,20,10,-10,146800,146900,-735,-3365,-4365,OK
5.281,TraderOne,Tick,31,24,7,-7,146800,146800,-589,-4711,-4711,OK
5.281,TraderTwo,Tick,30,20,10,-10,146800,146800,-735,-3365,-3365,OK
5.531,TraderOne,Tick,31,24,7,-7,146800,146800,-589,-4711,-4711,OK
5.531,TraderTwo,Tick,30,20,10,-10,146800,146800,-735,-3365,-3365,OK
5.766,TraderOne,Tick,31,24,7,-7,146800,146800,-589,-4711,-4711,OK
5.766,TraderTwo,Tick,30,20,10,-10,146800,146800,-735,-3365,-3365,OK
6.016,TraderOne,Tick,31,34,-3,3,147000,146800,-295,-5005,-5605,OK
6.016,TraderTwo,Tick,30,30,0,0,147000,146800,-441,-3659,-3659,OK
6.203,TraderOne,Tick,31,34,-3,3,147000,146800,-295,-5005,-5605,OK
6.203,TraderTwo,Tick,30,40,-10,10,147000,146800,-147,-2953,-4953,OK
6.484,TraderOne,Tick,31,44,-13,13,147000,146800,-1,-2299,-4899,OK
6.484,TraderTwo,Tick,30,50,-20,20,147000,146800,147,-247,-4247,OK
6.719,TraderOne,Tick,31,54,-23,23,147200,146700,293,407,-4193,OK
6.719,TraderTwo,Tick,30,60,-30,30,147200,146700,441,2459,-3541,OK
7.047,TraderOne,Tick,31,54,-23,23,147200,146900,293,407,-4193,OK
7.047,TraderTwo,Tick,30,60,-30,30,147200,146900,441,2459,-3541,OK
7.281,TraderOne,Tick,31,54,-23,23,147200,146900,293,407,-4193,OK
7.281,TraderTwo,Tick,30,60,-30,30,147200,146900,441,2459,-3541,OK
7.547,TraderOne,Tick,31,54,-23,23,147200,146900,293,407,-4193,OK
7.547,TraderTwo,Tick,30,60,-30,30,147200,146900,441,2459,-3541,OK
7.766,TraderOne,Tick,31,54,-23,23,147200,146900,293,407,-4193,OK
7.766,TraderTwo,Tick,30,60,-30,30,147200,146900,441,2459,-3541,OK
8.016,TraderOne,Tick,31,54,-23,23,147200,146900,293,407,-4193,OK
8.016,TraderTwo,Tick,30,60,-30,30,147200,146900,441,2459,-3541,OK
8.25,TraderOne,Tick,41,54,-13,13,147000,146900,146,-2446,-3746,OK
8.25,TraderTwo,Tick,40,60,-20,20,147000,146900,294,-394,-2394,OK
8.516,TraderOne,Tick,41,54,-13,13,147000,146900,146,-2446,-3746,OK
8.516,TraderTwo,Tick,40,60,-20,20,147000,146900,294,-394,-2394,OK
8.75,TraderOne,Tick,41,54,-13,13,147000,146900,146,-2446,-3746,OK
8.75,TraderTwo,Tick,40,60,-20,20,147000,146900,294,-394,-2394,OK
9.031,TraderOne,Tick,51,54,-3,3,146700,146900,-1,-4299,-3699,OK
9.031,TraderTwo,Tick,50,60,-10,10,146700,146900,147,-2247,-247,OK
9.203,TraderOne,Tick,61,54,7,-7,146400,146900,292,-1592,-2992,OK
9.203,TraderTwo,Tick,60,60,0,0,146400,146900,440,460,460,OK
9.484,TraderOne,Tick,71,54,17,-17,146400,146900,585,1115,-2285,OK
9.484,TraderTwo,Tick,70,60,10,-10,146400,146900,733,3167,1167,OK
9.703,TraderOne,Tick,81,54,27,-27,146400,146900,878,2822,-2578,OK
9.703,TraderTwo,Tick,80,60,20,-20,146400,146900,1026,4874,874,OK
10.031,TraderOne,Tick,81,54,27,-27,146400,146900,878,2822,-2578,OK
10.031,TraderTwo,Tick,80,60,20,-20,146400,146900,1026,4874,874,OK
10.281,TraderOne,Tick,91,54,37,-37,146400,146900,1171,4529,-2871,OK
10.281,TraderTwo,Tick,90,60,30,-30,146400,146900,1319,6581,581,OK
10.531,TraderOne,Tick,101,54,47,-47,146400,146900,1464,8236,-1164,OK
10.531,TraderTwo,Tick,100,60,40,-40,146400,146900,1612,10288,2288,OK
10.766,TraderOne,Tick,111,54,57,-57,146500,147000,1318,12382,982,OK
10.766,TraderTwo,Tick,102,60,42,-42,146500,147000,1583,11117,2717,OK
10.984,TraderOne,Tick,111,74,37,-37,147300,147000,1024,1676,9076,OK
10.984,TraderTwo,Tick,112,70,42,-42,147300,147000,1729,10971,19371,OK
11.297,TraderOne,Tick,111,74,37,-37,147300,147000,1024,1676,9076,OK
11.297,TraderTwo,Tick,112,70,42,-42,147300,147000,1729,10971,19371,OK
11.547,TraderOne,Tick,111,74,37,-37,147300,147000,1024,1676,9076,OK
11.547,TraderTwo,Tick,112,70,42,-42,147300,147000,1729,10971,19371,OK
11.797,TraderOne,Tick,121,84,37,-37,147400,147200,1171,1529,8929,OK
11.797,TraderTwo,Tick,112,80,32,-32,147400,147200,1582,7118,13518,OK
12.016,TraderOne,Tick,121,84,37,-37,147400,147200,1171,1529,8929,OK
12.016,TraderTwo,Tick,112,80,32,-32,147400,147200,1582,7118,13518,OK
12.25,TraderOne,Tick,121,84,37,-37,147400,147200,1171,1529,8929,OK
12.25,TraderTwo,Tick,112,80,32,-32,147400,147200,1582,7118,13518,OK
12.469,TraderOne,Tick,121,84,37,-37,147400,147200,1171,1529,8929,OK
12.469,TraderTwo,Tick,112,80,32,-32,147400,147200,1582,7118,13518,OK
12.719,TraderOne,Tick,121,84,37,-37,147400,147200,1171,1529,8929,OK
12.719,TraderTwo,Tick,112,80,32,-32,147400,147200,1582,7118,13518,OK
12.953,TraderOne,Tick,121,84,37,-37,147400,147200,1171,1529,8929,OK
12.953,TraderTwo,Tick,112,80,32,-32,147400,147200,1582,7118,13518,OK
13.297,TraderOne,Tick,121,84,37,-37,146600,147200,1171,1529,-5871,OK
13.297,TraderTwo,Tick,112,80,32,-32,146600,147200,1582,7118,718,OK
13.562,TraderOne,Tick,121,84,37,-37,146600,147200,1171,1529,-5871,OK
13.562,TraderTwo,Tick,112,80,32,-32,146600,147200,1582,7118,718,OK
13.703,TraderOne,Tick,121,84,37,-37,146600,147200,1171,1529,-5871,OK
13.703,TraderTwo,Tick,112,80,32,-32,146600,147200,1582,7118,718,OK
13.969,TraderOne,Tick,121,84,37,-37,146600,147200,1171,1529,-5871,OK
13.969,TraderTwo,Tick,112,80,32,-32,146600,147200,1582,7118,718,OK
14.266,TraderOne,Tick,121,84,37,-37,146600,147200,1171,1529,-5871,OK
14.266,TraderTwo,Tick,112,80,32,-32,146600,147200,1582,7118,718,OK
14.453,TraderOne,Tick,121,84,37,-37,146600,147200,1171,1529,-5871,OK
14.453,TraderTwo,Tick,112,80,32,-32,146600,147200,1582,7118,718,OK
14.781,TraderOne,Tick,121,84,37,-37,146600,147200,1171,1529,-5871,OK
14.781,TraderTwo,Tick,112,80,32,-32,146600,147200,1582,7118,718,OK
15.031,TraderOne,Tick,121,84,37,-37,146600,147200,1171,1529,-5871,OK
15.031,TraderTwo,Tick,112,80,32,-32,146600,147200,1582,7118,718,OK
15.297,TraderOne,Tick,121,84,37,-37,146600,147200,1171,1529,-5871,OK
15.297,TraderTwo,Tick,112,80,32,-32,146600,147200,1582,7118,718,OK
15.531,TraderOne,Tick,121,94,27,-27,146700,146800,1024,-1324,-4024,OK
15.531,TraderTwo,Tick,112,89,23,-23,146700,146800,1450,4550,2250,OK
15.812,TraderOne,Tick,121,94,27,-27,146700,146800,1024,-1324,-4024,OK
15.812,TraderTwo,Tick,112,89,23,-23,146700,146800,1450,4550,2250,OK
15.969,TraderOne,Tick,121,104,17,-17,146900,146900,877,-5177,-5177,OK
15.969,TraderTwo,Tick,112,90,22,-22,146900,146900,1435,4165,4165,OK
16.281,TraderOne,Tick,121,104,17,-17,146600,146900,877,-5177,-8577,OK
16.281,TraderTwo,Tick,112,100,12,-12,146600,146900,1728,1872,-528,OK
16.516,TraderOne,Tick,121,104,17,-17,146600,146900,877,-5177,-8577,OK
16.516,TraderTwo,Tick,112,100,12,-12,146600,146900,1728,1872,-528,OK
16.797,TraderOne,Tick,121,104,17,-17,146600,146900,877,-5177,-8577,OK
16.797,TraderTwo,Tick,112,100,12,-12,146600,146900,1728,1872,-528,OK
16.969,TraderOne,Tick,121,104,17,-17,146600,146900,877,-5177,-8577,OK
16.969,TraderTwo,Tick,112,100,12,-12,146600,146900,1728,1872,-528,OK
17.234,TraderOne,Tick,121,104,17,-17,146600,146900,877,-5177,-8577,OK
17.234,TraderTwo,Tick,112,100,12,-12,146600,146900,1728,1872,-528,OK
17.516,TraderOne,Tick,121,104,17,-17,146600,146900,877,-5177,-8577,OK
17.516,TraderTwo,Tick,112,100,12,-12,146600,146900,1728,1872,-528,OK
17.75,TraderOne,Tick,131,104,27,-27,146900,146900,1171,-4471,-4471,OK
17.75,TraderTwo,Tick,122,100,22,-22,146900,146900,2022,2578,2578,OK
18.016,TraderOne,Tick,141,104,37,-37,146600,146900,1024,-2324,-9724,OK
18.016,TraderTwo,Tick,132,100,32,-32,146600,146900,1875,4725,-1675,OK
18.234,TraderOne,Tick,141,104,37,-37,146600,146900,1024,-2324,-9724,OK
18.234,TraderTwo,Tick,132,100,32,-32,146600,146900,1875,4725,-1675,OK
18.484,TraderOne,Tick,141,104,37,-37,146600,147100,1024,-2324,-9724,OK
18.484,TraderTwo,Tick,132,100,32,-32,146600,147100,1875,4725,-1675,OK
18.734,TraderOne,Tick,151,104,47,-47,146800,147100,1318,-618,-10018,OK
18.734,TraderTwo,Tick,132,110,22,-22,146800,147100,1728,872,-3528,OK
18.969,TraderOne,Tick,151,114,37,-37,146800,147100,1612,-4912,-12312,OK
18.969,TraderTwo,Tick,142,110,32,-32,146800,147100,1581,3019,-3381,OK
19.266,TraderOne,Tick,151,114,37,-37,146800,147100,1612,-4912,-12312,OK
19.266,TraderTwo,Tick,142,110,32,-32,146800,147100,1581,3019,-3381,OK
19.547,TraderOne,Tick,151,114,37,-37,146800,147200,1612,-4912,-12312,OK
19.547,TraderTwo,Tick,142,110,32,-32,146800,147200,1581,3019,-3381,OK
19.703,TraderOne,Tick,151,114,37,-37,146800,147200,1612,-4912,-12312,OK
19.703,TraderTwo,Tick,142,110,32,-32,146800,147200,1581,3019,-3381,OK
20.016,TraderOne,Tick,151,114,37,-37,146800,147200,1612,-4912,-12312,OK
20.016,TraderTwo,Tick,142,110,32,-32,146800,147200,1581,3019,-3381,OK
20.219,TraderOne,Tick,161,114,47,-47,146900,147200,1906,-2206,-11606,OK
20.219,TraderTwo,Tick,152,110,42,-42,146900,147200,1875,5725,-2675,OK
20.547,TraderOne,Tick,171,114,57,-57,146900,147900,2200,2500,-8900,OK
20.547,TraderTwo,Tick,162,110,52,-52,146900,147900,2169,10431,31,OK
20.766,TraderOne,Tick,181,124,57,-67,147400,147900,2347,1484353,-6047,OK
20.766,TraderTwo,Tick,172,115,57,-62,147400,147900,2389,755211,4311,OK
21.047,TraderOne,Tick,181,124,57,-57,147400,147900,2347,5353,-6047,OK
21.047,TraderTwo,Tick,172,115,57,-57,147400,147900,2389,15711,4311,OK
21.297,TraderOne,Tick,181,134,47,-47,147400,147900,2200,-500,-9900,OK
21.297,TraderTwo,Tick,172,120,52,-52,147400,147900,2315,12785,2385,OK
21.516,TraderOne,Tick,191,134,57,-57,147500,147900,2451,3249,-8151,OK
21.516,TraderTwo,Tick,172,121,51,-51,147500,147900,2345,12255,2055,OK
21.766,TraderOne,Tick,191,134,57,-57,147500,147900,2451,3249,-8151,OK
21.766,TraderTwo,Tick,172,121,51,-51,147500,147900,2345,12255,2055,OK
22.016,TraderOne,Tick,191,134,57,-57,147500,148000,2451,3249,-8151,OK
22.016,TraderTwo,Tick,172,121,51,-51,147500,148000,2345,12255,2055,OK
22.312,TraderOne,Tick,191,134,57,-57,147500,148000,2451,3249,-8151,OK
22.312,TraderTwo,Tick,172,121,51,-51,147500,148000,2345,12255,2055,OK
22.547,TraderOne,Tick,191,144,47,-47,147600,148100,2303,-2603,-12003,OK
22.547,TraderTwo,Tick,172,131,41,-41,147600,148100,2197,6403,-1797,OK
22.75,TraderOne,Tick,191,144,47,-47,147600,148100,2303,-2603,-12003,OK
22.75,TraderTwo,Tick,172,131,41,-41,147600,148100,2197,6403,-1797,OK
23.047,TraderOne,Tick,191,144,47,-47,147600,148000,2303,-2603,-12003,OK
23.047,TraderTwo,Tick,172,131,41,-41,147600,148000,2197,6403,-1797,OK
23.219,TraderOne,Tick,191,144,47,-47,147600,148000,2303,-2603,-12003,OK
23.219,TraderTwo,Tick,172,131,41,-41,147600,148000,2197,6403,-1797,OK
23.453,TraderOne,Tick,191,154,37,-37,147400,147700,2598,-5898,-13298,OK
23.453,TraderTwo,Tick,172,141,31,-31,147400,147700,2492,3108,-3092,OK
23.812,TraderOne,Tick,191,154,37,-37,147400,147700,2598,-5898,-13298,OK
23.812,TraderTwo,Tick,172,141,31,-31,147400,147700,2492,3108,-3092,OK
24.047,TraderOne,Tick,201,154,47,-47,147400,147700,2893,-3193,-12593,OK
24.047,TraderTwo,Tick,182,151,31,-31,147400,147700,2198,1402,-4798,OK
24.203,TraderOne,Tick,201,154,47,-47,147400,147700,2893,-3193,-12593,OK
24.203,TraderTwo,Tick,192,151,41,-41,147400,147700,2493,5107,-3093,OK
24.5,TraderOne,Tick,201,154,47,-47,147400,147700,2893,-3193,-12593,OK
24.5,TraderTwo,Tick,192,151,41,-41,147400,147700,2493,5107,-3093,OK
24.797,TraderOne,Tick,201,154,47,-47,147400,148100,2893,-3193,-12593,OK
24.797,TraderTwo,Tick,192,151,41,-41,147400,148100,2493,5107,-3093,OK
25.016,TraderOne,Tick,211,154,57,-57,147700,148100,3188,1512,-9888,OK
25.016,TraderTwo,Tick,202,161,41,-41,147700,148100,2640,1960,-6240,OK
25.219,TraderOne,Tick,221,154,67,-67,147700,148200,3483,6217,-7183,OK
25.219,TraderTwo,Tick,212,161,51,-51,147700,148200,2935,6665,-3535,OK
25.547,TraderOne,Tick,221,164,57,-57,147600,147900,3778,-78,-11478,OK
25.547,TraderTwo,Tick,212,161,51,-51,147600,147900,2935,6665,-3535,OK
25.766,TraderOne,Tick,221,171,50,-50,147600,147900,3675,-3475,-13475,OK
25.766,TraderTwo,Tick,212,161,51,-51,147600,147900,2935,6665,-3535,OK
26.031,TraderOne,Tick,221,171,50,-50,147600,147900,3675,-3475,-13475,OK
26.031,TraderTwo,Tick,212,161,51,-51,147600,147900,2935,6665,-3535,OK
26.266,TraderOne,Tick,221,171,50,-50,147600,147900,3675,-3475,-13475,OK
26.266,TraderTwo,Tick,212,161,51,-51,147600,147900,2935,6665,-3535,OK
26.516,TraderOne,Tick,221,171,50,-50,147400,147900,3675,-3475,-13475,OK
26.516,TraderTwo,Tick,212,161,51,-51,147400,147900,2935,6665,-3535,OK
26.797,TraderOne,Tick,221,171,50,-50,147400,147900,3675,-3475,-13475,OK
26.797,TraderTwo,Tick,212,161,51,-51,147400,147900,2935,6665,-3535,OK
26.969,TraderOne,Tick,221,171,50,-50,147400,147900,3675,-3475,-13475,OK
26.969,TraderTwo,Tick,212,161,51,-51,147400,147900,2935,6665,-3535,OK
27.266,TraderOne,Tick,225,171,54,-54,147400,147900,3616,-1416,-12216,OK
27.266,TraderTwo,Tick,222,161,61,-61,147400,147900,2788,11812,-388,OK
27.469,TraderOne,Tick,235,171,64,-64,147600,147900,3468,3732,-9068,OK
27.469,TraderTwo,Tick,222,171,51,-51,147600,147900,3083,5517,-4683,OK
27.75,TraderOne,Tick,235,181,54,-54,147500,147900,3763,-2563,-13363,OK
27.75,TraderTwo,Tick,232,171,61,-61,147500,147900,2935,9665,-2535,OK
28.031,TraderOne,Tick,245,191,54,-54,147200,147800,3468,-2268,-13068,OK
28.031,TraderTwo,Tick,233,181,52,-52,147200,147800,3215,3785,-6615,OK
28.25,TraderOne,Tick,245,191,54,-54,147200,147800,3468,-2268,-13068,OK
28.25,TraderTwo,Tick,233,181,52,-52,147200,147800,3215,3785,-6615,OK
28.531,TraderOne,Tick,245,201,44,-44,147700,147800,3321,-7121,-11521,OK
28.531,TraderTwo,Tick,233,191,42,-42,147700,147800,3068,-1068,-5268,OK
28.766,TraderOne,Tick,245,201,44,-44,147700,147600,3321,-7121,-2721,OK
28.766,TraderTwo,Tick,233,191,42,-42,147700,147600,3068,-1068,3132,OK
28.953,TraderOne,Tick,245,201,44,-44,147700,147600,3321,-7121,-2721,OK
28.953,TraderTwo,Tick,233,191,42,-42,147700,147600,3068,-1068,3132,OK
29.234,TraderOne,Tick,245,201,44,-44,147700,147600,3321,-7121,-2721,OK
29.234,TraderTwo,Tick,233,191,42,-42,147700,147600,3068,-1068,3132,OK
29.531,TraderOne,Tick,245,201,44,-44,147700,147600,3321,-7121,-2721,OK
29.531,TraderTwo,Tick,233,191,42,-42,147700,147600,3068,-1068,3132,OK
29.719,TraderOne,Tick,245,211,34,-34,147100,147600,3615,-9415,-16215,OK
29.719,TraderTwo,Tick,243,201,42,-42,147100,147600,3215,-4215,-12615,OK
30.016,TraderOne,Tick,245,221,24,-24,147700,147600,3468,-12268,-9868,OK
30.016,TraderTwo,Tick,243,211,32,-32,147700,147600,3068,-8068,-4868,OK
30.297,TraderOne,Tick,255,221,34,-34,147000,147600,3762,-10562,-17362,OK
30.297,TraderTwo,Tick,243,211,32,-32,147000,147600,3068,-8068,-14468,OK
30.547,TraderOne,Tick,255,221,34,-34,147000,147600,3762,-10562,-17362,OK
30.547,TraderTwo,Tick,243,211,32,-32,147000,147600,3068,-8068,-14468,OK
30.719,TraderOne,Tick,255,221,34,-34,147000,147400,3762,-10562,-17362,OK
30.719,TraderTwo,Tick,243,211,32,-32,147000,147400,3068,-8068,-14468,OK
31.016,TraderOne,Tick,265,221,44,-44,147000,147400,4056,-7856,-16656,OK
31.016,TraderTwo,Tick,253,211,42,-42,147000,147400,3362,-5362,-13762,OK
31.266,TraderOne,Tick,268,221,47,-47,147000,147400,4144,-6744,-16144,OK
31.266,TraderTwo,Tick,263,211,52,-52,147000,147400,3656,-1656,-12056,OK
31.453,TraderOne,Tick,268,221,47,-47,147000,147400,4144,-6744,-16144,OK
31.453,TraderTwo,Tick,263,211,52,-52,147000,147400,3656,-1656,-12056,OK
31.734,TraderOne,Tick,268,221,47,-47,147000,147400,4144,-6744,-16144,OK
31.734,TraderTwo,Tick,263,211,52,-52,147000,147400,3656,-1656,-12056,OK
31.969,TraderOne,Tick,278,221,57,-57,147000,147400,3997,-2597,-13997,OK
31.969,TraderTwo,Tick,273,221,52,-52,147000,147400,3803,-1803,-12203,OK
32.25,TraderOne,Tick,278,221,57,-57,147000,147400,3997,-2597,-13997,OK
32.25,TraderTwo,Tick,273,221,52,-52,147000,147400,3803,-1803,-12203,OK
32.469,TraderOne,Tick,278,221,57,-57,147000,147400,3997,-2597,-13997,OK
32.469,TraderTwo,Tick,273,221,52,-52,147000,147400,3803,-1803,-12203,OK
32.719,TraderOne,Tick,278,221,57,-57,147000,147600,3997,-2597,-13997,OK
32.719,TraderTwo,Tick,273,221,52,-52,147000,147600,3803,-1803,-12203,OK
33.047,TraderOne,Tick,278,231,47,-47,147100,147600,4291,-7891,-17291,OK
33.047,TraderTwo,Tick,283,221,62,-62,147100,147600,3656,1344,-11056,OK
33.266,TraderOne,Tick,278,231,47,-47,146900,147600,4291,-7891,-17291,OK
33.266,TraderTwo,Tick,283,231,52,-52,146900,147600,3950,-3950,-14350,OK
33.5,TraderOne,Tick,278,231,47,-47,146900,147600,4291,-7891,-17291,OK
33.5,TraderTwo,Tick,283,241,42,-42,146900,147600,4244,-9244,-17644,OK
33.797,TraderOne,Tick,278,241,37,-37,146900,147600,4585,-12185,-19585,OK
33.797,TraderTwo,Tick,283,251,32,-32,146900,147600,4538,-13538,-19938,OK
34.047,TraderOne,Tick,278,241,37,-37,146900,147600,4585,-12185,-19585,OK
34.047,TraderTwo,Tick,283,251,32,-32,146900,147600,4538,-13538,-19938,OK
34.281,TraderOne,Tick,278,241,37,-37,146900,147200,4585,-12185,-19585,OK
34.281,TraderTwo,Tick,283,251,32,-32,146900,147200,4538,-13538,-19938,OK
34.547,TraderOne,Tick,278,241,37,-37,146900,147200,4585,-12185,-19585,OK
34.547,TraderTwo,Tick,283,251,32,-32,146900,147200,4538,-13538,-19938,OK
34.719,TraderOne,Tick,278,241,37,-37,146900,147200,4585,-12185,-19585,OK
34.719,TraderTwo,Tick,283,251,32,-32,146900,147200,4538,-13538,-19938,OK
34.953,TraderOne,Tick,278,241,37,-37,146900,147200,4585,-12185,-19585,OK
34.953,TraderTwo,Tick,283,251,32,-32,146900,147200,4538,-13538,-19938,OK
35.25,TraderOne,Tick,278,241,37,-37,146900,147300,4585,-12185,-19585,OK
35.25,TraderTwo,Tick,283,251,32,-32,146900,147300,4538,-13538,-19938,OK
35.469,TraderOne,Tick,278,251,27,-27,147100,147400,4438,-17038,-22438,OK
35.469,TraderTwo,Tick,283,261,22,-22,147100,147400,4391,-18391,-22791,OK
35.797,TraderOne,Tick,278,251,27,-27,147100,147000,4438,-17038,-14338,OK
35.797,TraderTwo,Tick,283,261,22,-22,147100,147000,4391,-18391,-16191,OK
35.984,TraderOne,Tick,278,251,27,-27,147100,147000,4438,-17038,-14338,OK
35.984,TraderTwo,Tick,283,261,22,-22,147100,147000,4391,-18391,-16191,OK
36.25,TraderOne,Tick,278,258,20,-20,147200,147000,4644,-18644,-14644,OK
36.25,TraderTwo,Tick,283,261,22,-22,147200,147000,4391,-18391,-13991,OK
36.516,TraderOne,Tick,278,258,20,-20,147200,147000,4644,-18644,-14644,OK
36.516,TraderTwo,Tick,283,261,22,-22,147200,147000,4391,-18391,-13991,OK
36.766,TraderOne,Tick,278,258,20,-20,147200,147000,4644,-18644,-14644,OK
36.766,TraderTwo,Tick,283,261,22,-22,147200,147000,4391,-18391,-13991,OK
36.984,TraderOne,Tick,278,258,20,-20,147200,147000,4644,-18644,-14644,OK
36.984,TraderTwo,Tick,283,261,22,-22,147200,147000,4391,-18391,-13991,OK
37.234,TraderOne,Tick,278,258,20,-20,147200,147000,4644,-18644,-14644,OK
37.234,TraderTwo,Tick,283,261,22,-22,147200,147000,4391,-18391,-13991,OK
37.531,TraderOne,Tick,278,258,20,-20,147200,147300,4644,-18644,-20644,OK
37.531,TraderTwo,Tick,283,261,22,-22,147200,147300,4391,-18391,-20591,OK
37.766,TraderOne,Tick,288,258,30,-30,147100,147300,4938,-16938,-22938,OK
37.766,TraderTwo,Tick,283,271,12,-12,147100,147300,4244,-22244,-24644,OK
37.984,TraderOne,Tick,288,268,20,-20,147200,147300,4791,-19791,-21791,OK
37.984,TraderTwo,Tick,293,271,22,-22,147200,147300,4538,-21538,-23738,OK
38.203,TraderOne,Tick,288,268,20,-20,147200,147300,4791,-19791,-21791,OK
38.203,TraderTwo,Tick,293,271,22,-22,147200,147300,4538,-21538,-23738,OK
38.547,TraderOne,Tick,288,268,20,-20,147200,147300,4791,-19791,-21791,OK
38.547,TraderTwo,Tick,293,271,22,-22,147200,147300,4538,-21538,-23738,OK
38.797,TraderOne,Tick,288,268,20,-20,147200,147300,4791,-19791,-21791,OK
38.797,TraderTwo,Tick,293,271,22,-22,147200,147300,4538,-21538,-23738,OK
39.047,TraderOne,Tick,288,268,20,-20,147200,147300,4791,-19791,-21791,OK
39.047,TraderTwo,Tick,293,271,22,-22,147200,147300,4538,-21538,-23738,OK
39.203,TraderOne,Tick,298,268,30,-30,147000,147300,4644,-17644,-23644,OK
39.203,TraderTwo,Tick,303,271,32,-32,147000,147300,4391,-19391,-25791,OK
39.5,TraderOne,Tick,298,278,20,-20,147700,147300,4497,-19497,-15497,OK
39.5,TraderTwo,Tick,303,281,22,-22,147700,147300,4244,-21244,-16844,OK
39.719,TraderOne,Tick,298,278,20,-20,147700,147300,4497,-19497,-15497,OK
39.719,TraderTwo,Tick,303,281,22,-22,147700,147300,4244,-21244,-16844,OK
40.0,TraderOne,Tick,298,278,20,-20,147700,147300,4497,-19497,-15497,OK
40.0,TraderTwo,Tick,303,281,22,-22,147700,147300,4244,-21244,-16844,OK
40.266,TraderOne,Tick,298,278,20,-20,147700,147300,4497,-19497,-15497,OK
40.266,TraderTwo,Tick,303,281,22,-22,147700,147300,4244,-21244,-16844,OK
40.484,TraderOne,Tick,298,288,10,-10,147700,147300,4350,-20350,-18350,OK
40.484,TraderTwo,Tick,303,291,12,-12,147700,147300,4097,-22097,-19697,OK
